problema,significativo
PTN1,True
PTN2,True
PTN3,False
PTN4,True
PTN5,False
PTN6,False
PTN7,False
PTN8,False
PTN9,False
PTN10,False
PTN11,False
PTN12,True
PTN13,False
PTN14,False
PTN15,True
PTN16,False
PTN17,False
PTN18,False
PTN19,True
PTN20,False
PTN21,False
PTN22,False
PTN23,True
PTN24,False
PTN25,False
PTN26,False
PTN27,False
PTN28,False
PTN29,False
PTN30,False
PTN31,True
PTN32,False
PTN33,False
PTN34,False
PTN35,True
PTN36,False
PTN37,False
PTN38,True
PTN39,True
PTN40,False
PTN41,False
PTN42,True
PTN43,True
PTN44,True
PTN45,True
PTN46,True
PTN47,False
PTN48,False
PTN49,True
PTN50,False
PTN51,False
