Descrizione,Minimo,Primo quartile,Mediana,Terzo quartile,Massimo,Media
Colonna 1 - Trenord,1.0,3.0,4.0,5.0,5.0,3.48
Colonna 1 - Trainline,1.0,5.0,5.0,6.0,7.0,5.14
Colonna 2 - Trenord,1.0,3.0,5.0,6.0,6.0,4.36
Colonna 2 - Trainline,1.0,5.0,5.5,6.0,7.0,5.36
Colonna 3 - Trenord,1.0,4.0,5.0,6.0,7.0,4.72
Colonna 3 - Trainline,2.0,2.0,3.0,4.0,7.0,3.45
Colonna 4 - Trenord,1.0,3.0,4.0,5.0,6.0,3.84
Colonna 4 - Trainline,1.0,2.0,2.0,2.75,6.0,2.41
Colonna 5 - Trenord,2.0,4.0,4.0,5.0,7.0,4.32
Colonna 5 - Trainline,2.0,3.0,4.0,4.0,5.0,3.45
Colonna 6 - Trenord,1.0,1.0,3.0,4.0,5.0,2.72
Colonna 6 - Trainline,2.0,4.0,4.0,4.0,6.0,4.14
Colonna 7 - Trenord,1.0,2.0,4.0,4.0,6.0,3.32
Colonna 7 - Trainline,1.0,4.0,4.0,4.75,6.0,4.23
Colonna 8 - Trenord,1.0,2.0,4.0,6.0,7.0,3.96
Colonna 8 - Trainline,4.0,5.0,6.0,6.0,7.0,5.55
Colonna 9 - Trenord,2.0,3.0,6.0,7.0,7.0,5.16
Colonna 9 - Trainline,1.0,2.0,2.0,3.0,7.0,3.05
Colonna 10 - Trenord,3.0,6.0,6.0,7.0,7.0,6.08
Colonna 10 - Trainline,1.0,2.0,3.0,4.0,7.0,3.27
Colonna 11 - Trenord,1.0,2.0,4.0,5.0,6.0,3.68
Colonna 11 - Trainline,3.0,5.0,6.0,6.0,7.0,5.41
Colonna 12 - Trenord,1.0,3.0,4.0,6.0,7.0,4.44
Colonna 12 - Trainline,1.0,2.0,2.0,3.0,7.0,2.36
Colonna 13 - Trenord,2.0,3.0,3.0,4.0,7.0,3.44
Colonna 13 - Trainline,4.0,5.0,6.0,6.0,7.0,5.59
Colonna 14 - Trenord,1.0,3.0,4.0,4.0,6.0,3.6
Colonna 14 - Trainline,3.0,4.0,5.0,5.75,7.0,4.91
Colonna 15 - Trenord,1.0,2.0,3.0,5.0,5.0,3.04
Colonna 15 - Trainline,2.0,5.0,5.0,6.0,6.0,4.95
Colonna 16 - Trenord,1.0,3.0,4.0,4.0,6.0,3.6
Colonna 16 - Trainline,3.0,5.0,5.5,6.0,6.0,5.27
Colonna 17 - Trenord,1.0,3.0,4.0,5.0,7.0,3.84
Colonna 17 - Trainline,1.0,1.0,2.5,3.75,6.0,2.55
Colonna 18 - Trenord,3.0,4.0,5.0,6.0,7.0,5.0
Colonna 18 - Trainline,2.0,3.0,4.0,4.0,4.0,3.36
Colonna 19 - Trenord,1.0,3.0,3.0,5.0,7.0,3.64
Colonna 19 - Trainline,1.0,2.0,3.0,3.0,5.0,2.59
Colonna 20 - Trenord,1.0,2.0,4.0,5.0,6.0,3.72
Colonna 20 - Trainline,1.0,5.0,6.0,6.0,7.0,5.36
Colonna 21 - Trenord,2.0,3.0,3.0,6.0,7.0,4.2
Colonna 21 - Trainline,1.0,2.0,2.0,3.0,6.0,2.59
Colonna 22 - Trenord,1.0,4.0,4.0,4.0,6.0,3.8
Colonna 22 - Trainline,4.0,4.0,4.0,5.0,6.0,4.5
Colonna 23 - Trenord,1.0,3.0,4.0,6.0,7.0,4.12
Colonna 23 - Trainline,1.0,3.0,3.0,3.0,6.0,3.18
Colonna 24 - Trenord,3.0,4.0,4.0,6.0,7.0,4.68
Colonna 24 - Trainline,1.0,2.25,4.0,4.0,6.0,3.36
Colonna 25 - Trenord,3.0,4.0,4.0,5.0,7.0,4.48
Colonna 25 - Trainline,2.0,2.25,3.0,4.0,6.0,3.27
Colonna 26 - Trenord,1.0,2.0,3.0,4.0,5.0,3.04
Colonna 26 - Trainline,2.0,4.0,4.0,5.0,6.0,4.32
