Colonna;Statistiche;P-value
Colonna 1;8,5;0,0007
Colonna 2;27,0;0,0181
Colonna 3;29,5;0,0076
Colonna 4;25,0;0,0025
Colonna 5;18,5;0,0291
Colonna 6;17,0;0,0044
Colonna 7;39,5;0,0407
Colonna 8;19,0;0,0035
Colonna 9;23,5;0,0037
Colonna 10;15,0;0,0004
Colonna 11;5,0;0,0004
Colonna 12;15,0;0,0007
Colonna 13;6,0;0,0002
Colonna 14;14,0;0,0047
Colonna 15;14,5;0,0011
Colonna 16;18,5;0,0011
Colonna 17;9,5;0,0022
Colonna 18;3,0;0,0007
Colonna 19;22,5;0,0099
Colonna 20;26,5;0,003
Colonna 21;29,0;0,0073
Colonna 22;26,0;0,0496
Colonna 23;51,5;0,0767
Colonna 24;16,5;0,0024
Colonna 25;9,0;0,0019
Colonna 26;32,0;0,0106
